item_cd,item_cd_alt,item_os,n
141. Salt,141. Salt,NA,4568
50. Palm oil,50. Palm oil,NA,4332
72. Onions,72. Onions,NA,4231
13. Rice  - local,13. Rice  - local,NA,3438
70. Tomatoes,70. Tomatoes,NA,2939
42. White beans,42. White beans,NA,2904
148. Other Spices,148. Other Spices,NA,2798
76. Fresh Pepper,76. Fresh Pepper,NA,2674
25. Bread,25. Bread,NA,2454
52. Groundnuts Oil,52. Groundnuts Oil,NA,2321
31. Yam - roots,31. Yam - roots,NA,2138
130. Sugar,130. Sugar,NA,2061
32. Gari - white,32. Gari - white,NA,1926
103. Fish - dried,103. Fish - dried,NA,1524
10. Guinea corn/sorghum,10. Guinea corn/sorghum,NA,1467
"78. Leaves (Cocoyam, Spinach, etc.)","78. Leaves (Cocoyam, Spinach, etc.)",NA,1386
151. Sachet water,151. Sachet water,NA,1375
74. Okra - fresh,74. Okra - fresh,NA,1368
90. Beef,90. Beef,NA,1338
111. Milk powder,111. Milk powder,NA,1197
71. Tomato puree (canned),71. Tomato puree (canned),NA,1142
16. Maize flour,16. Maize flour,NA,1106
35. Plantains,35. Plantains,NA,1080
75. Okra - dried,75. Okra - dried,NA,1018
33. Gari - yellow,33. Gari - yellow,NA,1011
44. Groundnuts (Shelled),44. Groundnuts (Shelled),NA,986
60. Bananas,60. Bananas,NA,964
77. Dry Pepper,77. Dry Pepper,NA,929
121. Chocolate drinks (including Milo),121. Chocolate drinks (including Milo),NA,926
28. Biscuits,28. Biscuits,NA,921
102. Fish - smoked,102. Fish - smoked,NA,914
144. Ground Pepper,144. Ground Pepper,NA,909
18. Cassava  flour,18. Cassava  flour,NA,886
61. Orange/tangerine,61. Orange/tangerine,NA,885
"153. Soft drinks (Coca Cola, spirit, etc)","153. Soft drinks (Coca Cola, spirit, etc)",NA,883
101. Fish - frozen,101. Fish - frozen,NA,842
41. Brown beans,41. Brown beans,NA,840
36. Sweet potatoes,36. Sweet potatoes,NA,838
145. Melon (shelled),145. Melon (shelled),NA,802
11. Millet,11. Millet,NA,786
67. Pawpaw,67. Pawpaw,NA,744
14. Rice - imported,14. Rice - imported,NA,695
100. Fish - fresh,100. Fish - fresh,NA,619
83. Agricultural eggs,83. Agricultural eggs,NA,551
34. Cocoyam,34. Cocoyam,NA,536
30. Cassava - roots,30. Cassava - roots,NA,530
147. Melon (ground),147. Melon (ground),NA,528
68. Watermelon,68. Watermelon,NA,524
122. Tea,122. Tea,NA,495
22. Maize (Shelled/Off the cob),22. Maize (Shelled/Off the cob),NA,444
17. Yam flour,17. Yam flour,NA,425
47. Kola nut,47. Kola nut,NA,424
152. Malt drinks,152. Malt drinks,NA,409
142. Unground Ogbono,142. Unground Ogbono,NA,407
80. Chicken,80. Chicken,NA,391
143. Ground Ogbono,143. Ground Ogbono,NA,378
46. Coconut,46. Coconut,NA,346
"105. Seafood (lobster, crab, prawns, etc)","105. Seafood (lobster, crab, prawns, etc)",NA,343
43. Groundnuts (Unshelled),43. Groundnuts (Unshelled),NA,331
27. Buns/Pofpof/Donuts,27. Buns/Pofpof/Donuts,NA,323
40. Soya beans,40. Soya beans,NA,302
73. Garden eggs/egg plant,73. Garden eggs/egg plant,NA,227
93. Goat,93. Goat,NA,225
64. Pineapples,64. Pineapples,NA,219
110. Fresh milk,110. Fresh milk,NA,204
114. Cheese (wara),114. Cheese (wara),NA,198
19. Wheat flour,19. Wheat flour,NA,198
62. Mangoes,62. Mangoes,NA,176
160. Beer (local and imported),160. Beer (local and imported),NA,147
161. Palm wine,161. Palm wine,NA,143
601. Guava,601. Guava,NA,127
63. Avocado pear,63. Avocado pear,NA,123
84. Local eggs,84. Local eggs,NA,119
113. Milk tinned (unsweetened),113. Milk tinned (unsweetened),NA,118
29. Meat Pie/Sausage Roll,29. Meat Pie/Sausage Roll,NA,103
132. Honey,132. Honey,NA,99
94. Wild game/bush  meat,94. Wild game/bush  meat,NA,93
69. Apples,69. Apples,NA,92
150. Bottled water,150. Bottled water,NA,88
26. Cake,26. Cake,NA,65
92. Pork,92. Pork,NA,62
146. Melon (unshelled),146. Melon (unshelled),NA,58
120. Coffee,120. Coffee,NA,56
91. Mutton,91. Mutton,NA,51
48. Cashew nut,48. Cashew nut,NA,47
112. Baby milk powder,112. Baby milk powder,NA,45
37. Potatoes,37. Potatoes,NA,38
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),GREEN VEGETABLES,36
51. Butter/ Margarine,51. Butter/ Margarine,NA,35
163. Gin,163. Gin,NA,34
96. Other meat (excl,961. Ponmo/cow skin,PONMO,30
23. Other grains and flour,235. Macoroni/pasta/noodles,SPAGHETTI,28
154. Fruit juice canned/Pack,154. Fruit juice canned/Pack,NA,26
20. Maize (Unshelled/On the cob),20. Maize (Unshelled/On the cob),NA,26
104. Snails,104. Snails,NA,23
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),BITTER LEAF,20
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN LEAF,20
"153. Soft drinks (Coca Cola, spirit, etc)",1552. Kunu,KUNU,19
23. Other grains and flour,231. Semovita/semolina,SEMOLINA,19
53. Other oil and Fat,532. Vegetable oil,VEGETABLES OIL,16
23. Other grains and flour,231. Semovita/semolina,SEMOVITA,14
107. Other fish or seafood,1071. Crayfish,CRAYFISH,13
162. Pito,162. Pito,NA,13
"78. Leaves (Cocoyam, Spinach, etc.)",790. Jute leaves,EWEDU,13
56. Animal fat,56. Animal fat,NA,12
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN LEAVE,11
81. Duck,81. Duck,NA,11
23. Other grains and flour,235. Macoroni/pasta/noodles,SPHAGETTI,10
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),AFANG,10
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN LEAVES,9
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,UGU,9
66. Other fruits,663. Cherry,AFRICAN CHERRY,7
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),TETE,7
23. Other grains and flour,235. Macoroni/pasta/noodles,Spaghetti,6
66. Other fruits,662. Cashew fruit,CASHEW,6
66. Other fruits,663. Cherry,CHERRY,6
66. Other fruits,794. Carrot,CARROT,6
23. Other grains and flour,234. Plantain flour,PLANTAIN FLOUR,5
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),SOKOYOKOTO,5
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN  LEAVE,5
79. Other vegetables (fresh or canned),792. Leaves (second variety),TETE,5
107. Other fish or seafood,1071. Crayfish,CRAY FISH,4
23. Other grains and flour,231. Semovita/semolina,semovita,4
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,OGWU,4
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,UGWU,4
96. Other meat (excl,961. Ponmo/cow skin,SKIN MEAT,4
107. Other fish or seafood,107. Other fish or seafood,FRIED FISH,3
"153. Soft drinks (Coca Cola, spirit, etc)",1552. Kunu,kunu,3
23. Other grains and flour,235. Macoroni/pasta/noodles,SPAGHETTI AND MACARONI,3
"78. Leaves (Cocoyam, Spinach, etc.)","78. Leaves (Cocoyam, Spinach, etc.)",OHIA,3
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),EDITAN,3
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),OHA,3
79. Other vegetables (fresh or canned),79. Other vegetables (fresh or canned),ALIYAHU,3
79. Other vegetables (fresh or canned),79. Other vegetables (fresh or canned),AROWOJEJA,3
96. Other meat (excl,961. Ponmo/cow skin,SKIN MEAT (PONMO),3
106. Canned fish/seafood,106. Canned fish/seafood,NA,2
107. Other fish or seafood,1073. Stockfish,STOCK FISH,2
155. Other non-alcoholic drinks,1552. Kunu,kunu,2
23. Other grains and flour,232. Akanu/Pap/Obi/Fufu,FUFU,2
23. Other grains and flour,235. Macoroni/pasta/noodles,SPAHGETTI,2
45. Other nuts/seeds/pulses,456. Locust beans,LOCUST BEANS,2
53. Other oil and Fat,532. Vegetable oil,VEGETABLE OIL,2
66. Other fruits,66. Other fruits,STAR APPLE,2
66. Other fruits,791. Cucumber,CUCUMBER,2
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),ATAMA,2
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),KUMBI,2
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),OHA LEAF,2
"78. Leaves (Cocoyam, Spinach, etc.)",793. Kuka/Baobab,BAOBAB LEAF (DRIED KUKA),2
"78. Leaves (Cocoyam, Spinach, etc.)",793. Kuka/Baobab,BAOBAB LEAF (KUKA DRIED),2
"78. Leaves (Cocoyam, Spinach, etc.)",793. Kuka/Baobab,DRIED KUKA,2
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN,2
"78. Leaves (Cocoyam, Spinach, etc.)",798. Pumpkin leaves,PUMPKIN  LEAF,2
107. Other fish or seafood,107. Other fish or seafood,DRIED FISH,1
107. Other fish or seafood,1072. Periwinkle,PERIWINKLE,1
107. Other fish or seafood,1072. Periwinkle,PREWINCLE (ESAM),1
107. Other fish or seafood,1073. Stockfish,STOCKFISH HEAD,1
113. Milk tinned (unsweetened),113. Milk tinned (unsweetened),HOLLANDIA MILK,1
