state,zone,product,estimate_kg_person_year,se,ci_low,ci_high,cv,n_households,n_psu,weighted_population,mean_household_size,precision_flag
1. Abia,4. South East,Agricultural eggs,0.2341778856369441,0.059131981139334815,0.11827920260384787,0.35007656867004033,0.2525088181512136,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Animal fat,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Apples,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Avocado pear,0.2615738700088952,0.12065202955348693,0.025095892084060822,0.4980518479337296,0.461254136544235,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Baby milk powder,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Bananas,4.71942287802501,0.7396990530964177,3.2696127339560315,6.169233022093988,0.15673506532772666,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Beef,4.097722670113908,0.5006362156638402,3.116475687412781,5.078969652815035,0.12217425530408665,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Beer,0.4944318913638397,0.29972935987152816,0,1.0819014367120348,0.6062096015788048,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Biscuits,0.5123057830061107,0.05892810052177047,0.3968067059834406,0.6278048600287809,0.1150252495218614,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Bottled water,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Bread,6.7344318173718145,0.4802644832414141,5.793113430218643,7.675750204524986,0.07131477402481781,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Brown beans,0.35539897056841807,0.16933602782118945,0.023500356038886783,0.6872975850979494,0.47646741224477035,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Buns/Pofpof/Donuts,0.4740792406108144,0.08046287402850834,0.3163720075149381,0.6317864737066907,0.16972452521826975,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Butter/Margarine,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Cake,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Canned fish/seafood,0,0,0,0,NA,243,35,4254853.618358143,3.7384436455064947,No estimate
1. Abia,4. South East,Cashew nut,0.058316790274245404,0.03418493271826511,0,0.12531925840204503,0.5861936597934179,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Cassava flour,0.06623699792167369,0.045820122420636475,0,0.15604443786612118,0.691760252703776,243,35,4254853.618358143,3.7384436455064947,CV < 10%
1. Abia,4. South East,Cassava roots,2.9296339702537675,1.838406590095827,0,6.532910886841588,0.6275209151594398,243,35,4254853.618358143,3.7384436455064947,CV < 10%
