survey_period,product,state,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent,zone,n_households,n_psu,weighted_population,mean_household_size,precision_flag
Post-Planting,Agricultural eggs,1. Abia,0.014638373978022583,0.0023356255365694807,0.15955498473232663,0.0100605479263464,0.019216200029698767,0.763286643139749,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Animal fat,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Apples,1. Abia,0.0013730850020709814,6.658750365329745e-4,0.48494815363117055,6.796993046635151e-5,0.002678200073675611,0.07159657510798689,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Avocado pear,1. Abia,0.010887835785686775,0.004621021799759369,0.4244206002660508,0.0018306330581584103,0.01994503851321514,0.5677228659679533,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Baby milk powder,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Bananas,1. Abia,0.15135002735736397,0.032542959795649515,0.21501786530113984,0.08756582615789092,0.215134228556837,7.89182285506255,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Beef,1. Abia,0.10662612333371538,0.01063545572810395,0.09974531001954752,0.08578063010663163,0.1274716165607991,5.559790716686587,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Beer,1. Abia,0.012628617738141829,0.0053409429390664015,0.42292379497205895,0.002160369577571682,0.023096865898711974,0.6584922106316811,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Biscuits,1. Abia,0.009549077259116367,0.001439866425149585,0.15078592266859767,0.00672693906582318,0.012371215452409554,0.4979161713682106,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Bottled water,1. Abia,0.01238628494450866,0.011787665709370532,0.9516708005814513,0,0.0354901097348749,0.6458562863922372,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Bread,1. Abia,0.19342598636314248,0.009732870603955921,0.05031831961649249,0.1743495599793889,0.21250241274689607,10.085783574649572,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Brown beans,1. Abia,0.035304006986551284,0.008554674723876872,0.24231455446787362,0.018536844527752616,0.05207116944534995,1.840851792870174,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Buns/Pofpof/Donuts,1. Abia,0.007917361561509236,0.0013631657016314627,0.17217423898620227,0.00524555678631157,0.010589166336706902,0.4128338528501244,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Butter/Margarine,1. Abia,7.774260725306645e-5,7.064649044671011e-5,0.9087229376903044,0,2.1620972852861827e-4,0.004053721663909894,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Cake,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Canned fish/seafood,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Cashew nut,1. Abia,3.5438929646682964e-4,3.204584793709046e-4,0.9042555251126189,0,9.824879160338026e-4,0.018478870458627544,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Cassava flour,1. Abia,0.0013002332003388497,8.335234872263039e-4,0.6410569173353533,0,0.002933939235302405,0.0677978740176686,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Cassava roots,1. Abia,0.013219755240078459,0.011101414362870458,0.8397594479823797,0,0.034978527391304554,0.6893158089469482,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Cheese/wara,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Chicken,1. Abia,0.03342790628916982,0.009837477724655281,0.2942893772513203,0.01414644994884547,0.052709362629494175,1.7430265422209976,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Chocolate drinks,1. Abia,0.01914161803465262,0.003498240500767769,0.1827557364500119,0.012285066653147794,0.025998169416157447,0.9980986546640295,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Coconut,1. Abia,0.03792217497160823,0.011747746371391355,0.3097856697351014,0.014896592083681173,0.06094775785953528,1.9773705520910005,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Cocoyam,1. Abia,0.0039525429264584706,0.002230551021062475,0.5643331552786138,0,0.00832442292774092,0.20609688116533453,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Coffee,1. Abia,1.2918112044753847e-4,3.851679572613671e-5,0.29816118324951907,5.3688200824310515e-5,2.0467404007076643e-4,0.00673587270905022,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Dry pepper,1. Abia,0.00118067426835625,3.970411087715275e-4,0.3362833589354778,4.024736951640562e-4,0.001958874841548444,0.06156372970714732,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Duck,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Fish - dried,1. Abia,0.01753858716067727,0.0014615832417422656,0.08333528968737211,0.01467388400686243,0.02040329031449211,0.9145120448067434,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Fish - fresh,1. Abia,0.020326131174370165,0.007143420664817896,0.3514402521334336,0.006325026671327089,0.03432723567741324,1.0598625540921585,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Fish - frozen,1. Abia,0.04463601137395879,0.010198454308474006,0.22848041288975726,0.024647040929349738,0.06462498181856785,2.32744916449928,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Fish - smoked,1. Abia,0.05813518803928867,0.004505397647140356,0.07749863377229532,0.04930460865089357,0.06696576742768376,3.031334804905766,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Fresh milk,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Fresh pepper,1. Abia,0.06382099666577078,0.003502946163234226,0.054887048874825345,0.0569552221858317,0.07068677114570986,3.327809111858048,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Fruit juice,1. Abia,0.015674109783474218,0.014130617647446983,0.9015260096203617,0,0.0433701203724703,0.8172928672811557,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Garden eggs/Eggplant,1. Abia,0.05259738656781119,0.006146028627631408,0.11685045643299481,0.04055117045765363,0.06464360267796875,2.742578013893012,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Gari - white,1. Abia,0.11695216432598726,0.03693045469228198,0.31577401671117156,0.04456847312911458,0.18933585552285995,6.098219996997907,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Gari - yellow,1. Abia,0.42179253456750304,0.03536510567695122,0.08384478808572048,0.35247692744067866,0.4911081416943274,21.993467873876945,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Gin,1. Abia,0.0012851754441167242,8.482710373067816e-4,0.6600429857184064,0,0.0029477866772380165,0.06701271958608633,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Goat,1. Abia,0.009309690308231963,0.0033776704767290444,0.36281233477147856,0.002689456173843036,0.01592992444262089,0.48543385178638093,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Ground pepper,1. Abia,0.0027375445679286765,5.262294102142754e-4,0.19222679198696638,0.0017061349239086967,0.0037689542119486562,0.14274339532770955,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Groundnut oil,1. Abia,0.0534697140671901,0.004844348015379355,0.09059984890309947,0.043974791957046566,0.06296463617733364,2.7880636620749124,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Groundnuts - shelled,1. Abia,0.014631911027509525,0.0026440052290314167,0.18070129213199904,0.009449660778607948,0.019814161276411103,0.7629496464344252,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Groundnuts - unshelled,1. Abia,0.05213013534150286,0.00777406833363003,0.14912810570512344,0.03689296140758801,0.06736730927541772,2.718214199949792,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Guava,1. Abia,0.06748063821766596,0.01971515186448546,0.29216012748563736,0.028838940563274462,0.10612233587205747,3.5186332784925827,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Guinea corn / sorghum,1. Abia,0.0011160428756126198,8.004664472206185e-4,0.7172362860891213,0,0.002684957112165032,0.05819366422837231,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Honey,1. Abia,0.002288992273894137,0.0011088844304543639,0.4844421901730055,1.1557879020358385e-4,0.00446240575758469,0.11935459713876571,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Kola nut,1. Abia,9.062668421046627e-4,3.0053664702429597e-4,0.33162048202750827,3.1721501393704263e-4,0.0014953186702722828,0.0472553424811717,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Leaves,1. Abia,0.020707729624063514,0.003238552901609095,0.15639343184419985,0.014360165936909686,0.02705529331121734,1.0797601875404548,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Local eggs,1. Abia,0.001504897208557927,8.756769370663556e-4,0.5818848836230324,0,0.003221224005207984,0.07846964016052048,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Maize - shelled/off cob,1. Abia,0.0134507075469357,0.006497758520987154,0.4830793100149927,7.151008458008805e-4,0.02618631424807052,0.7013583220902186,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Maize - unshelled/on cob,1. Abia,0.47973792962923656,0.06566177746404331,0.13687009804455055,0.3510408457997117,0.6084350134587615,25.014906330667337,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Maize flour,1. Abia,0.0017736701910817517,0.0011045414999265402,0.6227434533659758,0,0.00393857153093777,0.09248423139211992,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Malt drinks,1. Abia,0.03831661598738193,0.008726454362596623,0.22774595662284836,0.02121276543669255,0.05542046653807131,1.997937833627772,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Mangoes,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Meat pie/Sausage roll,1. Abia,0.003639815819311346,0.0010010304225108442,0.2750222737095086,0.0016777961911900916,0.005601835447432601,0.18979039629266303,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Melon - ground,1. Abia,0.003101963274396905,5.914400758172259e-4,0.19066636948892177,0.0019427407257951422,0.004261185822998668,0.1617452278792672,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Melon - shelled,1. Abia,0.030757129535736248,0.0020230018345906322,0.06577342766138618,0.02679204593993861,0.03472221313153389,1.6037646115062472,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Melon - unshelled,1. Abia,0.003495403406237599,0.001154954970774825,0.33042108064373654,0.001231691663518942,0.005759115148956256,0.1822603204681034,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Milk - tinned,1. Abia,0.0017421571753332892,5.552744249709623e-4,0.3187280877023818,6.538193023902031e-4,0.0028304950482763752,0.09084105271380723,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Milk powder,1. Abia,0.0211247081464497,0.0030507517342155057,0.14441627846717622,0.015145234747387309,0.02710418154551209,1.1015026390648772,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Millet,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Mutton,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Ogbono - ground,1. Abia,0.0023591204616581134,8.015635963874383e-4,0.33977221995016627,7.880558127387343e-4,0.003930185110577493,0.1230112812150302,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Ogbono - unground,1. Abia,0.003018601114295611,5.051835517719355e-4,0.16735684267108603,0.0020284413528226172,0.0040087608757686044,0.15739848667398543,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Okra - dried,1. Abia,3.7224763483059085e-4,2.577194779801617e-4,0.6923334196534232,0,8.773778116717079e-4,0.01941005524473795,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Okra - fresh,1. Abia,0.064265951122557,0.007032542481383967,0.1094287466153377,0.05048216785904442,0.07804973438606957,3.351010308533329,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Onions,1. Abia,0.14276943149448312,0.006912982768869896,0.04842060864504477,0.12921998526749812,0.15631887772146813,7.444406070783763,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Orange/Tangerine,1. Abia,0.08512297533831122,0.013204849471736302,0.15512673774918212,0.05924147037370807,0.11100448030291436,4.438555142640514,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Other alcoholic beverages,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other domestic poultry,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other eggs,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other fish/seafood,1. Abia,5.216608530797132e-5,3.8751836752869246e-5,0.7428549894838996,0,1.2811968534359505e-4,0.0027200887339156473,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Other fruits,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other grains/flour,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other meat,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other milk products,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other non-alcoholic drinks,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other nuts/seeds/pulses,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other oil/fat,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other roots/tubers,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other spices,1. Abia,0.0030726582858469353,4.5335363317334463e-4,0.14754443579409743,0.00218408516482718,0.0039612314068666905,0.16021718204773308,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Other sweets,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Other vegetables,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Palm oil,1. Abia,0.07393183722216302,0.0035896819885301513,0.04855393999939784,0.06689606052464393,0.08096761391968212,3.855017226584215,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Palm wine,1. Abia,0.011557323665534212,0.0045560193334019386,0.39421058588059765,0.002627525772066413,0.020487121559002012,0.6026318768457125,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Pawpaw,1. Abia,0.2241519085311404,0.06246894954094966,0.2786902415879771,0.10171276743087905,0.34659104963140175,11.687920944838035,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Pineapples,1. Abia,0.01792604247127227,0.006131798238212197,0.34206090095116254,0.005907717924376365,0.029944367018168175,0.9347150717163398,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Pito,1. Abia,0,0,NA,0,0,0,4. South East,245,28,4591792.975217456,4.023665256231419,No estimate
Post-Planting,Plantains,1. Abia,0.16533821880404026,0.026271840176932452,0.15889756383592094,0.11384541205725265,0.21683102555082787,8.621207123353528,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Pork,1. Abia,2.1889541765582993e-4,2.2382092260209128e-4,1.0225016357080883,0,6.575844259559289e-4,0.01141383249205399,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Potatoes,1. Abia,0.031342616956304345,0.009940712898238769,0.31716282377114224,0.011858819675756357,0.05082641423685233,1.6342935984358693,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Rice - imported,1. Abia,0.0656847142135105,0.020210927758597026,0.30769605989150967,0.026071295806660337,0.10529813262036067,3.4249886697044762,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Rice - local,1. Abia,0.4344210445282958,0.02284224472408793,0.05258088900571232,0.38965024486908345,0.4791918441875081,22.65195446468971,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Sachet water,1. Abia,2.687645510936845,0.8939145955173528,0.3326013761412147,0.9355729037228337,4.439718118150856,140.1415159274212,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Salt,1. Abia,0.033018230181753414,0.0032190547812220136,0.09749325640721146,0.026708882810558266,0.03932757755294856,1.7216648594771422,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
Post-Planting,Seafood,1. Abia,0.0034726957538031063,8.889249473323401e-4,0.25597547563987955,0.0017304028570317197,0.005214988650574493,0.18107627859116196,4. South East,245,28,4591792.975217456,4.023665256231419,CV < 10%
