state,zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
1. Abia,4. South East,Agricultural eggs,0.004491082738242763,0.014638373978022583,-0.01014729123977982,0.3068020222044798
1. Abia,4. South East,Animal fat,0,0,0,NA
1. Abia,4. South East,Apples,0,0.0013730850020709814,-0.0013730850020709814,0
1. Abia,4. South East,Avocado pear,0.005016485178252784,0.010887835785686775,-0.00587135060743399,0.46074217842700116
1. Abia,4. South East,Baby milk powder,0,0,0,NA
1. Abia,4. South East,Bananas,0.09050947985253444,0.15135002735736397,-0.060840547504829534,0.5980142946312502
1. Abia,4. South East,Beef,0.07858646216656809,0.10662612333371538,-0.02803966116714729,0.7370282226299313
1. Abia,4. South East,Beer,0.009482255450813364,0.012628617738141829,-0.0031463622873284646,0.7508545786586285
1. Abia,4. South East,Biscuits,0.009825042413815821,0.009549077259116367,2.759651546994542e-4,1.0288996671836532
1. Abia,4. South East,Bottled water,0,0.01238628494450866,-0.01238628494450866,0
1. Abia,4. South East,Bread,0.12915348690850054,0.19342598636314248,-0.06427249945464195,0.6677152813687854
1. Abia,4. South East,Brown beans,0.006815870668435415,0.035304006986551284,-0.02848813631811587,0.1930622399613691
1. Abia,4. South East,Buns/Pofpof/Donuts,0.009091930641851235,0.007917361561509236,0.001174569080341999,1.1483535987610118
1. Abia,4. South East,Butter/Margarine,0,7.774260725306645e-5,-7.774260725306645e-5,0
1. Abia,4. South East,Cake,0,0,0,NA
1. Abia,4. South East,Canned fish/seafood,0,0,0,NA
1. Abia,4. South East,Cashew nut,0.0011184041970403228,3.5438929646682964e-4,7.640149005734931e-4,3.1558633632294364
1. Abia,4. South East,Cassava flour,0.0012702985902786734,0.0013002332003388497,-2.9934610060176328e-5,0.9769775067638827
1. Abia,4. South East,Cassava roots,0.05618476107335992,0.013219755240078459,0.042965005833281465,4.250060614059181
1. Abia,4. South East,Cheese/wara,0,0,0,NA
1. Abia,4. South East,Chicken,0.003210051363168165,0.03342790628916982,-0.030217854926001656,0.09602908825337282
1. Abia,4. South East,Chocolate drinks,0.016062611365177473,0.01914161803465262,-0.0030790066694751476,0.8391459560053317
