product,zone,estimate_kg_person_year,se,cv,ci_low,ci_high
Agricultural eggs,1. North Central,0.365464324772428,0.0929860065545665,0.2544325129750167,0.18321175192547767,0.5477168976193784
Animal fat,1. North Central,0.025922171271436943,0.02019734757621673,0.7791533882222179,0,0.06550897252082175
Apples,1. North Central,0.009315088232987774,0.006765001645834503,0.7262412847446167,0,0.022574491458823398
Avocado pear,1. North Central,0.1157545553943696,0.06226079686455113,0.5378690856047256,0,0.2377857172488898
Baby milk powder,1. North Central,0.009094372447856568,0.004077679521559521,0.4483739306850777,0.001102120585599907,0.01708662431011323
Bananas,1. North Central,1.2313391283564439,0.23628103921962387,0.19188949151238702,0.768228291485981,1.6944499652269067
Beef,1. North Central,1.8723300086371333,0.2625455093548788,0.1402239499146763,1.357740810301571,2.3869192069726957
Beer,1. North Central,0.7130521714406312,0.1962996677401622,0.27529495821261396,0.3283048226699133,1.097799520211349
Biscuits,1. North Central,0.3037210377256177,0.0525016988114263,0.1728615811554564,0.20081770805522214,0.40662436739601326
Bottled water,1. North Central,0.4506448328426032,0.3227585911325213,0.7162150048334212,0,1.083251671462345
Bread,1. North Central,4.771210321365507,0.48908877307903303,0.10250832391288449,3.8125963261306017,5.7298243166004115
Brown beans,1. North Central,1.977302334099031,0.4619981140935037,0.23365072003721463,1.0717860304757636,2.8828186377222984
Buns/Pofpof/Donuts,1. North Central,0.03772932895532945,0.013356534789839124,0.3540093386143421,0.011550520767244762,0.06390813714341413
Butter/Margarine,1. North Central,0,0,NA,0,0
Cake,1. North Central,0.07278072485033713,0.03680029492247449,0.5056324321879027,6.521468022871318e-4,0.1449093028983871
Canned fish/seafood,1. North Central,0,0,NA,0,0
Cashew nut,1. North Central,0.016529066216344847,0.007082101602712118,0.42846350241545694,0.002648147075029096,0.030409985357660596
Cassava flour,1. North Central,5.509999399147143,0.92530667146655865,0.1679322635878655,3.6963983230726885,7.323600475221598
Cassava roots,1. North Central,16.785814857657662,5.823568976948888,0.34693394549697326,5.371619662837842,28.20001005247748
Cheese/wara,1. North Central,0.04515442356351028,0.01370752056022594,0.3035698272384351,0.01828768326546744,0.07202116386155312
Chicken,1. North Central,1.191030921822875,0.21519553080993614,0.18068005361320005,0.7692476814354001,1.6128141622103498
Chocolate drinks,1. North Central,0.09187280389721758,0.020207313851265146,0.21994880959409943,0.052266468748737895,0.13147913904569727
Coconut,1. North Central,0.14690627827983843,0.0585199001929812,0.3983485313099279,0.03220727390159528,0.2616052826580816
Cocoyam,1. North Central,0.256637481029374,0.09290267815427414,0.3619996493950966,0.07454823184699669,0.43872673021175135
Coffee,1. North Central,0.007360614045960766,0.0044827575279951645,0.6090195057102793,0,0.01614681880083129
Dry pepper,1. North Central,0.1303160313246192,0.022068039971252677,0.16934248032984411,0.08706267298096394,0.17356938966827445
Duck,1. North Central,0,0,NA,0,0
Fish - dried,1. North Central,1.564288546621411,0.1852829337324912,0.11844549660142296,1.2011339965057282,1.9274430967370937
Fish - fresh,1. North Central,4.218758597670992,1.1471868751892684,0.2719252236481567,1.9702723223000258,6.467244873041958
Fish - frozen,1. North Central,0.5828949422080358,0.12893042884476136,0.22118982257139908,0.3301913016723036,0.8355985827437681
Fish - smoked,1. North Central,2.0756815049384136,0.420739875835814,0.20269963134266958,1.2510313483002182,2.900331661576609
Fresh milk,1. North Central,0.1588390037598215,0.13036647233134271,0.820745970734419,0,0.4143572895292532
Fresh pepper,1. North Central,2.630924992006155,0.3223975588806746,0.12254152431568843,1.9990257766000326,3.262824207412277
Fruit juice,1. North Central,0.027324353894557868,0.016440193782438314,0.6016681618851625,0,0.05954713370813696
Garden eggs/Eggplant,1. North Central,0.29461773855291973,0.09354298209919631,0.3175062796919608,0.11127349363849495,0.47796198346734453
Gari - white,1. North Central,6.390694248179452,0.6543460357466756,0.10239044622312862,5.108176018115968,7.673212478242936
Gari - yellow,1. North Central,1.1529264815751388,0.24809720581285338,0.21518909468876168,0.6666559581819462,1.6391970049683313
Gin,1. North Central,0,0,NA,0,0
Goat,1. North Central,0.6853158227837765,0.3011775563873559,0.43947264366954536,0.0950078122645589,1.2756238333029941
Ground pepper,1. North Central,0.16002959224925883,0.02408045430015393,0.15047500878866643,0.11283190182095713,0.20722728267756052
Groundnut oil,1. North Central,1.866561457407812,0.23670939269308328,0.12681575083084248,1.4026110477293687,2.3305118670862552
Groundnuts - shelled,1. North Central,0.34114467592797576,0.09813848924955426,0.28767410478442806,0.14879323699884942,0.5334961148571021
Groundnuts - unshelled,1. North Central,0.15037081479619313,0.043289880855365934,0.28788751935699347,0.0655226483196759,0.23521898127271035
Guava,1. North Central,0.007032144364975653,0.007084785949122374,1.0074858508890843,0,0.020918324825255505
Guinea corn / sorghum,1. North Central,16.4470503529079,1.5743633251929916,0.09572314131783746,13.361298235529638,19.532802470286164
Honey,1. North Central,0.0758475108887723,0.03528994236826448,0.46527489109057163,0.00667922384697392,0.14501579793057068
Kola nut,1. North Central,0.0371725819349617,0.007640654914550464,0.20554544550924092,0.022196898302442793,0.05214826556748061
Leaves,1. North Central,2.9039639966900337,0.3860910058285,0.13295309661847401,2.1472256252661737,3.6607023681138937
Local eggs,1. North Central,0.03957108679627821,0.013556946327598142,0.34259727051199457,0.01299947199418585,0.06614270159837057
Maize - shelled/off cob,1. North Central,1.5589208910512744,0.32395165730201236,0.20780506513294092,0.9239756427393302,2.1938661393632186
Maize - unshelled/on cob,1. North Central,0.19288252286922666,0.09423983464751688,0.48858669642874275,0.008172446960093588,0.3775925987783597
Maize flour,1. North Central,12.757780850651145,1.674094598019134,0.13122145752595285,9.476555438533643,16.03900626276865
Malt drinks,1. North Central,0.515524291541581,0.09879808574394848,0.191645839711085,0.32188004348344196,0.70916853959972
Mangoes,1. North Central,2.6334410346297714,1.2169908118568136,0.46212950882642684,0.2481390433904167,5.018743025869126
Meat pie/Sausage roll,1. North Central,0.014767580470223456,0.006649708678760733,0.45029100685578405,0.0017341514598524198,0.027801009480594493
Melon - ground,1. North Central,0.2667022112262242,0.06057884958874681,0.22714040993594223,0.14796766603228043,0.38543675642016795
Melon - shelled,1. North Central,0.21699467331660505,0.04482519922027981,0.20657280907019232,0.12913728284485662,0.3048520637883535
Melon - unshelled,1. North Central,0.0321233756621951,0.011291186983530453,0.3514944102471355,0.009992649174475413,0.05425410214991479
Milk - tinned,1. North Central,0.010763995333386615,0.006385000082842006,0.5931812384791446,0,0.02327859549575695
Milk powder,1. North Central,0.18740021156783812,0.0341398021387174,0.1821758996593178,0.12048619937595201,0.25431422375972423
Millet,1. North Central,4.619537675138044,0.945850019430796,0.20474993082560616,2.7656716370536842,6.473403713222405
Mutton,1. North Central,0.03423324892591577,0.030794317839924642,0.8995441217562107,0,0.09459011189216807
Ogbono - ground,1. North Central,0.10110128575435304,0.026325608592487296,0.2603884648554414,0.04950309291307794,0.15269947859562813
Ogbono - unground,1. North Central,0.04088904298196553,0.01374810922881826,0.3362296651179139,0.013942748893481741,0.06783533707044932
Okra - dried,1. North Central,0.4451315427732574,0.059639112112055026,0.13398087167782266,0.3282388830336295,0.5620242025128852
Okra - fresh,1. North Central,1.5082013230459732,0.17164080778490826,0.11380497096916833,1.171785339787553,1.8446173063043934
