survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Agricultural eggs,1. North Central,0.013237025297405051,0.0027074644063208226,0.2045372238467797,0.00793039506101624,0.018543655533793862,0.6902163190789777
Post-Planting,Animal fat,1. North Central,0.0022173448248835204,0.0019393925998294104,0.8746463689657692,0,0.006018554320549164,0.115618694440355
Post-Planting,Apples,1. North Central,0.001990413356066935,6.744094641848362e-4,0.3388288478517207,6.68570806264656e-4,0.003312255905869214,0.10378583928063304
Post-Planting,Avocado pear,1. North Central,9.694246614076806e-4,4.546907841118465e-4,0.4690315835906216,7.823072454846136e-5,0.0018606185982668996,0.05054857163054334
Post-Planting,Baby milk powder,1. North Central,1.4077198932724283e-4,9.645963727811735e-5,0.685218968198882,0,3.2983287839235284e-4,0.007340253729206233
Post-Planting,Bananas,1. North Central,0.0743790296931164,0.021439987308923842,0.2882531191571603,0.03235665456762567,0.11640140481860713,3.878335119712498
Post-Planting,Beef,1. North Central,0.04961152973677524,0.005471035897046612,0.11027750859677948,0.038888299378563876,0.0603347600949866,2.5868869077032803
Post-Planting,Beer,1. North Central,0.014236072267036656,0.0053198798527044995,0.3736901409964444,0.0038091077557358376,0.024663036778337474,0.7423094824954827
Post-Planting,Biscuits,1. North Central,0.008057328190132022,0.0015134526012718227,0.18783554120649817,0.00509096109163925,0.011023695288624794,0.42013211277116974
Post-Planting,Bottled water,1. North Central,0.014580844241304772,0.005723175650348968,0.39251332471794015,0.003363419966620795,0.02579826851598875,0.760286878296606
Post-Planting,Bread,1. North Central,0.10282074736513871,0.011558701087291212,0.11241603843087976,0.08016569323404794,0.1254758014962295,5.361367541182233
Post-Planting,Brown beans,1. North Central,0.052439492118782564,0.009646502945225706,0.1839549270114033,0.03353234634614018,0.07134663789142495,2.734344946193662
Post-Planting,Buns/Pofpof/Donuts,1. North Central,0.0026016614330202437,6.758406150370065e-4,0.2597727000366953,0.001277013827547711,0.003926309038492776,0.13565806043605558
Post-Planting,Butter/Margarine,1. North Central,1.7434997817931608e-4,9.051863464314556e-5,0.5191777801661015,0,3.5176650207988135e-4,0.009091106005064338
Post-Planting,Cake,1. North Central,0.0043279267461667935,0.0014374831717004612,0.3321412898158749,0.0015104597296338898,0.007145393762699697,0.22567046605012567
Post-Planting,Canned fish/seafood,1. North Central,0,0,NA,0,0,0
Post-Planting,Cashew nut,1. North Central,0,0,NA,0,0,0
