zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
1. North Central,Agricultural eggs,0.007008904858649304,0.013237025297405051,-0.006228120438755747,0.5294924426882609
1. North Central,Animal fat,4.971375312330372e-4,0.0022173448248835204,-0.0017202072936504833,0.22420397840428466
1. North Central,Apples,1.786455277559299e-4,0.001990413356066935,-0.001811767828311005,0.08975297880282224
1. North Central,Avocado pear,0.002219950377426266,9.694246614076806e-4,0.0012505257160185855,2.289966890467511
1. North Central,Baby milk powder,1.7441262228766019e-4,1.4077198932724283e-4,3.364063296041735e-5,1.2389724910558402
1. North Central,Bananas,0.023614723009575636,0.0743790296931164,-0.05076430668354076,0.317491678864441
1. North Central,Beef,0.03590769879578064,0.04961152973677524,-0.013703830940994602,0.7237772950420345
1. North Central,Beer,0.013674973150916214,0.014236072267036656,-0.00056109911612044205,0.9605861008854488
1. North Central,Biscuits,0.00582478702487486,0.008057328190132022,-0.0022325411652571623,0.7229179310343344
1. North Central,Bottled water,0.008642503643556773,0.014580844241304772,-0.005938340597747999,0.5927299887803613
1. North Central,Bread,0.09150266369742067,0.10282074736513871,-0.01131808366771804,0.88992412564825
1. North Central,Brown beans,0.03792086668135128,0.052439492118782564,-0.014518625437431286,0.7231356588171253
1. North Central,Buns/Pofpof/Donuts,7.235761717460441e-4,0.0026016614330202437,-0.0018780852612741996,0.2781208048681613
1. North Central,Butter/Margarine,0,1.7434997817931608e-4,-1.7434997817931608e-4,0
1. North Central,Cake,0.0013957947231571502,0.0043279267461667935,-0.0029321320230096433,0.32250886048230676
1. North Central,Canned fish/seafood,0,0,0,NA
1. North Central,Cashew nut,3.169957904504491e-4,0,3.169957904504491e-4,NA
1. North Central,Cassava flour,0.10567122135350686,0.16547396003164255,-0.059802738678135695,0.6385972834233254
1. North Central,Cassava roots,0.3219197369961743,0.5306293749701553,-0.20870963797398095,0.6066753032929629
1. North Central,Cheese/wara,8.659752464234848e-4,0.005589582286116871,-0.004723607039693386,0.1549266478417093
1. North Central,Chicken,0.022841688911671574,0.028717804887515914,-0.0058761159758443406,0.7953842224759045
1. North Central,Chocolate drinks,0.0017619441843302,0.0026232660784097704,-8.613218940795703e-4,0.6716604917936096
1. North Central,Coconut,0.002817380679339367,0.0032965748017389288,-4.791941223995619e-4,0.8546387838228973
1. North Central,Cocoyam,0.004921814704672926,0.010717817559894491,-0.005796002855221565,0.4592179963101907
1. North Central,Coffee,1.4116246115541194e-4,1.5436804804442022e-4,-1.3205586889008278e-5,0.9144538843607823
1. North Central,Dry pepper,0.002499211559650231,0.002597190349284775,-9.797878963454382e-5,0.9622750832793115
1. North Central,Duck,0,0.00132053776163233,-0.00132053776163233,0
1. North Central,Fish - dried,0.030000054318766782,0.0384913522107285,-0.008491297891961715,0.7793972566753584
1. North Central,Fish - fresh,0.08090769913341628,0.08800445760759265,-0.007096758474176373,0.9193591021738869
1. North Central,Fish - frozen,0.011178807110839043,0.035597628938420035,-0.02441882182758099,0.31403235114836286
1. North Central,Fish - smoked,0.039807590505668206,0.03595007552419203,0.0038575149814761775,1.1073019993763387
1. North Central,Fresh milk,0.0030462274693664393,0.014034564476675773,-0.010988337007309334,0.21705179910847996
1. North Central,Fresh pepper,0.050456095737104335,0.07853146128990963,-0.0280753655528053,0.6424953121760814
1. North Central,Fruit juice,5.240287048271371e-4,0,5.240287048271371e-4,NA
1. North Central,Garden eggs/Eggplant,0.005650203205124487,0.01760470388560532,-0.011954500680480835,0.3209484943251126
1. North Central,Gari - white,0.12256125955412647,0.15874782909824384,-0.036186569544117364,0.7720499880239453
1. North Central,Gari - yellow,0.02211091882472869,0.026673970024165394,-0.004563051199436705,0.8289324313065213
1. North Central,Gin,0,5.66481517837579e-4,-5.66481517837579e-4,0
1. North Central,Goat,0.013143043176675164,0.048904252756026514,-0.03576120957935135,0.26875051628420055
1. North Central,Ground pepper,0.0030690606732734567,0.002042720963536697,0.0010263397097367596,1.5024375468100108
1. North Central,Groundnut oil,0.035797069046177216,0.05031644039265489,-0.014519371346477676,0.7114388213241494
1. North Central,Groundnuts - shelled,0.006542500634235151,0.012537375631673418,-0.005994874997438267,0.5218397235946814
1. North Central,Groundnuts - unshelled,0.0028838238454064434,0.05163941623237296,-0.048755592386966515,0.055845399809120275
1. North Central,Guava,1.3486304261597142e-4,0.0029607198267241263,-0.002825856784108155,0.045550761473161734
