item_cd,item_cd_alt,item_os,n
30. Cassava - roots,30. Cassava - roots,NA,38
76. Fresh Pepper,76. Fresh Pepper,NA,14
74. Okra - fresh,74. Okra - fresh,NA,12
48. Cashew nut,48. Cashew nut,NA,10
148. Other Spices,148. Other Spices,NA,9
163. Gin,163. Gin,NA,7
66. Other fruits,663. Cherry,AFRICAN CHERRY,7
145. Melon (shelled),145. Melon (shelled),NA,6
23. Other grains and flour,235. Macoroni/pasta/noodles,SPAGHETTI,6
66. Other fruits,662. Cashew fruit,CASHEW,6
66. Other fruits,663. Cherry,CHERRY,6
52. Groundnuts Oil,52. Groundnuts Oil,NA,5
107. Other fish or seafood,1071. Crayfish,CRAYFISH,4
142. Unground Ogbono,142. Unground Ogbono,NA,4
53. Other oil and Fat,532. Vegetable oil,VEGETABLES OIL,4
72. Onions,72. Onions,NA,4
73. Garden eggs/egg plant,73. Garden eggs/egg plant,NA,4
107. Other fish or seafood,107. Other fish or seafood,FRIED FISH,3
122. Tea,122. Tea,NA,3
150. Bottled water,150. Bottled water,NA,3
75. Okra - dried,75. Okra - dried,NA,3
107. Other fish or seafood,1073. Stockfish,STOCK FISH,2
121. Chocolate drinks (including Milo),121. Chocolate drinks (including Milo),NA,2
28. Biscuits,28. Biscuits,NA,2
44. Groundnuts (Shelled),44. Groundnuts (Shelled),NA,2
51. Butter/ Margarine,51. Butter/ Margarine,NA,2
62. Mangoes,62. Mangoes,NA,2
66. Other fruits,66. Other fruits,STAR APPLE,2
"78. Leaves (Cocoyam, Spinach, etc.)","78. Leaves (Cocoyam, Spinach, etc.)",NA,2
101. Fish - frozen,101. Fish - frozen,NA,1
"105. Seafood (lobster, crab, prawns, etc)","105. Seafood (lobster, crab, prawns, etc)",NA,1
107. Other fish or seafood,1072. Periwinkle,PERIWINKLE,1
107. Other fish or seafood,1072. Periwinkle,PREWINCLE (ESAM),1
107. Other fish or seafood,1073. Stockfish,STOCKFISH HEAD,1
110. Fresh milk,110. Fresh milk,NA,1
147. Melon (ground),147. Melon (ground),NA,1
152. Malt drinks,152. Malt drinks,NA,1
"153. Soft drinks (Coca Cola, spirit, etc)","153. Soft drinks (Coca Cola, spirit, etc)",NA,1
163. Gin,163. Gin,LOCAL SPIRIT,1
18. Cassava  flour,18. Cassava  flour,NA,1
19. Wheat flour,19. Wheat flour,NA,1
23. Other grains and flour,23. Other grains and flour,WATER YAM,1
23. Other grains and flour,23. Other grains and flour,WATERYAM,1
23. Other grains and flour,235. Macoroni/pasta/noodles,Spegetti,1
23. Other grains and flour,238. INDOMIE noodles,NOODLES (INDOMIE),1
33. Gari - yellow,33. Gari - yellow,NA,1
38. Other roots and tuber,381. Yam - second variety,WATERYAM,1
38. Other roots and tuber,381. Yam - second variety,Water yam,1
42. White beans,42. White beans,NA,1
43. Groundnuts (Unshelled),43. Groundnuts (Unshelled),NA,1
45. Other nuts/seeds/pulses,45. Other nuts/seeds/pulses,BITTER KOLA,1
45. Other nuts/seeds/pulses,453. Bambara nut,BANBARA  NUT,1
50. Palm oil,50. Palm oil,NA,1
601. Guava,601. Guava,NA,1
66. Other fruits,66. Other fruits,STAR APPLES,1
66. Other fruits,662. Cashew fruit,cashew,1
66. Other fruits,663. Cherry,AFRICAN CHEERY,1
66. Other fruits,663. Cherry,CHERRY (ODARA),1
66. Other fruits,794. Carrot,CARROT,1
77. Dry Pepper,77. Dry Pepper,NA,1
"78. Leaves (Cocoyam, Spinach, etc.)",792. Leaves (second variety),BITTER LEAF,1
79. Other vegetables (fresh or canned),793. Kuka/Baobab,"KUKA,",1
90. Beef,90. Beef,NA,1
94. Wild game/bush  meat,94. Wild game/bush  meat,BUSH MEAT,1
94. Wild game/bush  meat,94. Wild game/bush  meat,NA,1
