state,n_products,n_cv_gt_30,median_cv
1. Abia,107,0,0.2525088181512136
10. Delta,107,0,0.41042857428652235
11. Ebonyi,107,0,0.3163729205581687
12. Edo,107,0,0.2839506634750669
13. Ekiti,107,0,0.3472328619792748
14. Enugu,107,0,0.4422712313606817
15. Gombe,107,0,0.35283225572085414
16. Imo,107,0,0.2556233476490432
17. Jigawa,107,0,0.41722008123102267
18. Kaduna,107,0,0.36980926921898827
19. Kano,107,0,0.3532397715503447
2. Adamawa,107,0,0.46406023433594323
20. Katsina,107,0,0.4505449077709741
21. Kebbi,107,0,0.4490154935269569
22. Kogi,107,0,0.3685200306367511
23. Kwara,107,0,0.3670775872546577
24. Lagos,107,0,0.2704453161511302
25. Nasarawa,107,0,0.32689461900028194
26. Niger,107,0,0.33874041438207264
27. Ogun,107,0,0.29029380300586066
28. Ondo,107,0,0.3890723667898991
29. Osun,107,0,0.35053703354081295
3. Akwa Ibom,107,0,0.2665743569979015
30. Oyo,107,0,0.4838531854671593
31. Plateau,107,0,0.5611707534248385
32. Rivers,107,0,0.3883520174523421
33. Sokoto,107,0,0.34188639681990635
34. Taraba,107,0,0.47701854516785724
35. Yobe,107,0,0.4399397419079277
36. Zamfara,107,0,0.3642717839683863
37. FCT,107,0,0.39235668441367216
4. Anambra,107,0,0.31187646060991137
5. Bauchi,107,0,0.38619026769920045
6. Bayelsa,107,0,0.4107436039725634
7. Benue,107,0,0.31803970889449446
8. Borno,107,0,0.47346040519766747
9. Cross River,107,0,0.3452295523207415
