population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),25344,Niger,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,34.55101118,56.03523852,19.19490087
1,All Population,2,DALYs (Disability-Adjusted Life Years),25344,Niger,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,752.6150154,1401.464675,297.6308549
1,All Population,2,DALYs (Disability-Adjusted Life Years),25333,Gombe,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,877.918672,1582.404629,385.8931673
1,All Population,2,DALYs (Disability-Adjusted Life Years),25353,Yobe,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,59.79176956,94.96564218,35.02598663
1,All Population,2,DALYs (Disability-Adjusted Life Years),25353,Yobe,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,832.380847,1400.195609,440.7517399
1,All Population,2,DALYs (Disability-Adjusted Life Years),25343,Nasarawa,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,21.26844937,35.9646438,11.56600519
1,All Population,2,DALYs (Disability-Adjusted Life Years),25343,Nasarawa,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,774.9082693,1435.871516,326.0243965
1,All Population,2,DALYs (Disability-Adjusted Life Years),25318,Abia,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,9.36543525,15.18016231,5.220688567
1,All Population,2,DALYs (Disability-Adjusted Life Years),25318,Abia,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,652.2269313,1266.593643,276.6114604
1,All Population,2,DALYs (Disability-Adjusted Life Years),25354,Zamfara,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,91.04127183,138.532606,56.96184537
1,All Population,2,DALYs (Disability-Adjusted Life Years),25354,Zamfara,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,1268.622997,1962.76678,715.1558221
1,All Population,2,DALYs (Disability-Adjusted Life Years),25346,Ondo,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,14.12822933,22.40281909,8.122084851
1,All Population,2,DALYs (Disability-Adjusted Life Years),25346,Ondo,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,562.3327107,1084.331054,216.7863594
1,All Population,2,DALYs (Disability-Adjusted Life Years),25325,Borno,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,32.40307929,52.15617133,18.49792031
1,All Population,2,DALYs (Disability-Adjusted Life Years),25325,Borno,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,679.7334033,1280.024272,290.6482231
1,All Population,2,DALYs (Disability-Adjusted Life Years),25327,Delta,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,9.785625685,16.55142947,5.45204122
1,All Population,2,DALYs (Disability-Adjusted Life Years),25327,Delta,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,865.394413,1543.090443,417.0501498
1,All Population,2,DALYs (Disability-Adjusted Life Years),25352,Taraba,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,36.79381238,61.88996924,20.84366109
1,All Population,2,DALYs (Disability-Adjusted Life Years),25352,Taraba,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,646.5371962,1381.112498,216.4603047
1,All Population,2,DALYs (Disability-Adjusted Life Years),25329,Edo,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,10.29106239,17.57172004,5.815660187
1,All Population,2,DALYs (Disability-Adjusted Life Years),25329,Edo,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,600.086259,1221.915331,199.9658096
1,All Population,2,DALYs (Disability-Adjusted Life Years),25330,Ekiti,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,12.32494101,20.83513719,7.063194479
1,All Population,2,DALYs (Disability-Adjusted Life Years),25330,Ekiti,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,594.2166404,1208.605749,205.4620871
1,All Population,2,DALYs (Disability-Adjusted Life Years),25331,Enugu,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,10.19092823,16.54685535,5.620734491
1,All Population,2,DALYs (Disability-Adjusted Life Years),25331,Enugu,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,499.4679668,1020.849125,183.289568
1,All Population,2,DALYs (Disability-Adjusted Life Years),25345,Ogun,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,12.61270185,19.68760293,7.449222136
1,All Population,2,DALYs (Disability-Adjusted Life Years),25345,Ogun,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,492.2391509,1052.270269,148.3140687
1,All Population,2,DALYs (Disability-Adjusted Life Years),25333,Gombe,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,46.47352834,77.25058468,26.95652566
1,All Population,2,DALYs (Disability-Adjusted Life Years),25332,Federal Capital Territory,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,10.21101466,16.86806495,5.801779178
1,All Population,2,DALYs (Disability-Adjusted Life Years),25332,Federal Capital Territory,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,663.2787749,1262.904963,244.8838569
1,All Population,2,DALYs (Disability-Adjusted Life Years),25319,Adamawa,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,25.26686952,41.45346549,14.17784278
1,All Population,2,DALYs (Disability-Adjusted Life Years),25319,Adamawa,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,443.3178977,997.6874607,144.9029463
1,All Population,2,DALYs (Disability-Adjusted Life Years),25338,Katsina,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,71.57685092,110.1152529,42.40798874
1,All Population,2,DALYs (Disability-Adjusted Life Years),25338,Katsina,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,959.8853168,1706.226012,433.7942207
1,All Population,2,DALYs (Disability-Adjusted Life Years),25341,Kwara,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,18.14441601,30.4740361,10.29011889
1,All Population,2,DALYs (Disability-Adjusted Life Years),25341,Kwara,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,711.7187348,1372.524581,234.4466693
1,All Population,2,DALYs (Disability-Adjusted Life Years),25320,Akwa Ibom,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,14.74662382,23.70420034,8.846531822
1,All Population,2,DALYs (Disability-Adjusted Life Years),25320,Akwa Ibom,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,810.3169473,1486.04704,343.8396327
1,All Population,2,DALYs (Disability-Adjusted Life Years),25321,Anambra,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,9.298112259,15.75263579,5.176643728
1,All Population,2,DALYs (Disability-Adjusted Life Years),25321,Anambra,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,750.7115464,1390.198305,291.8401016
1,All Population,2,DALYs (Disability-Adjusted Life Years),25340,Kogi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,13.75200074,22.84576068,7.646554078
1,All Population,2,DALYs (Disability-Adjusted Life Years),25340,Kogi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,600.042202,1168.264973,229.7381925
1,All Population,2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,86.18817931,134.4979983,49.26745896
1,All Population,2,DALYs (Disability-Adjusted Life Years),25339,Kebbi,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,841.7903728,1481.04046,338.4215626
1,All Population,2,DALYs (Disability-Adjusted Life Years),25323,Bayelsa,3,Both,27,Age-standardized,389,Vitamin A deficiency,3,Rate,2023,14.64890108,23.92544406,8.363426032
1,All Population,2,DALYs (Disability-Adjusted Life Years),25323,Bayelsa,3,Both,27,Age-standardized,390,Dietary iron deficiency,3,Rate,2023,822.7965385,1477.720007,357.5112351
