State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,411615.3,418612.76,4110238,4204773.47,9.99,10.04
Federal Capital Territory,350818.48,356782.4,2002035.43,2048082.25,5.71,5.74
Kogi,363128.74,369301.93,3885681.64,3975052.32,10.7,10.76
Kwara,384502.17,391038.71,1631749.77,1669280.02,4.24,4.27
Nasarawa,289152.59,294068.18,1968815.54,2014098.3,6.81,6.85
Niger,345011.94,348462.06,1848488.39,1866973.27,5.36,5.36
Plateau,305817.75,311016.66,1179565.02,1206695.01,3.86,3.88
Taraba,190087.96,193319.45,1594598.99,1631274.76,8.39,8.44
Bauchi,131363.54,133596.72,545645.3,558195.15,4.15,4.18
Gombe,119922.35,121961.03,833690.53,852865.41,6.95,6.99
Yobe,176622.12,179624.7,544191.86,549633.78,3.08,3.06
Jigawa,117515.69,119513.46,1151817.54,1178309.34,9.8,9.86
Kaduna,189849.2,190228.9,2168586.35,2190272.22,11.42,11.51
Katsina,155879,152449.66,426595.42,421476.27,2.74,2.76
Kebbi,129214.73,129473.16,686838.11,693706.49,5.32,5.36
Sokoto,82638.22,78093.12,355751.27,341521.22,4.3,4.37
Zamfara,109417.09,102852.06,245675.27,234128.53,2.25,2.28
Abia,253979.06,258296.7,2055262.14,2102533.17,8.09,8.14
Anambra,254819.48,259151.41,2419436.75,2475083.79,9.49,9.55
Ebonyi,811111.35,824900.25,29322.03,29908.48,0.04,0.04
Enugu,233474.69,237443.76,2406311.75,2454437.99,10.31,10.34
Imo,315014.64,320369.88,3771928,3858682.34,11.97,12.04
Akwa Ibom,290919.38,295865.01,2194693.21,2245171.15,7.54,7.59
Bayelsa,360378.27,366504.7,1610377.61,1647416.3,4.47,4.49
Cross River,414298.92,421342,2802351.92,2866806.01,6.76,6.8
Delta,231669.7,235608.08,2014543.82,2060878.33,8.7,8.75
Edo,296515.82,301556.59,1640767.7,1673583.06,5.53,5.55
Rivers,608951.89,619304.07,3588299.17,3670830.05,5.89,5.93
Ekiti,235776.3,239784.5,2030388.51,2077087.45,8.61,8.66
Lagos,246778.18,250973.41,1581991.5,1618377.31,6.41,6.45
Ogun,162841.13,165609.43,1926005.15,1962599.25,11.83,11.85
Ondo,215988.21,219660.01,3736428.85,3811157.42,17.3,17.35
Osun,182075.31,185170.59,2078957.6,2126773.63,11.42,11.49
Oyo,186697.62,189871.48,2001528.93,2043561.04,10.72,10.76
National,9153846.83,9281806.83,63068559.09,64361224.58,6.89,6.93
