State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,108799.49,109887.49,126854.19,134972.85,1.17,1.23
Federal Capital Territory,135944.87,137304.32,110816.59,117908.85,0.82,0.86
Kogi,353010.92,356541.03,156627.41,166651.57,0.44,0.47
Kwara,227905.29,230184.34,190574.1,202770.84,0.84,0.88
Nasarawa,69731,70428.31,82637.54,87926.34,1.19,1.25
Niger,80847.73,81656.21,119241.26,126872.7,1.47,1.55
Plateau,165933.95,167593.29,98050.93,104326.19,0.59,0.62
Adamawa,189021.18,190911.39,203000.74,215992.78,1.07,1.13
Borno,197042.85,186796.63,161388.05,150897.82,0.82,0.81
Bauchi,212476.6,214601.37,174970.08,186168.17,0.82,0.87
Gombe,322807.92,326036,290665.72,309268.32,0.9,0.95
Taraba,253464.62,255999.26,240007.22,255367.69,0.95,1
Yobe,108964.09,107656.52,223309.77,223533.08,2.05,2.08
Jigawa,109748.29,110845.77,177639.28,189008.2,1.62,1.71
Kaduna,167942.13,166094.77,140353.36,140914.77,0.84,0.85
Kano,185794.76,187281.12,155998.75,165982.67,0.84,0.89
Katsina,107923.33,102311.32,98733.22,97548.42,0.91,0.95
Kebbi,99580.88,94402.67,80744.12,81147.84,0.81,0.86
Sokoto,129074.19,130364.93,98934.91,92998.82,0.77,0.71
Zamfara,110825.46,111933.71,63744.78,59537.62,0.58,0.53
Abia,40120,40521.2,44278.5,47112.32,1.1,1.16
Anambra,129662.92,130959.55,53313.96,56726.05,0.41,0.43
Ebonyi,64028.93,64669.22,36997.47,39365.31,0.58,0.61
Enugu,112809.03,113937.12,78903.99,83953.85,0.7,0.74
Imo,97003.67,97973.71,59126.67,62910.78,0.61,0.64
Akwa Ibom,28237.07,28519.44,39199.71,41708.5,1.39,1.46
Bayelsa,29834.81,30133.15,26022.16,27687.58,0.87,0.92
Delta,23016.26,23246.43,21110.34,22461.4,0.92,0.97
Edo,51647.54,52164.01,40001.71,42561.82,0.77,0.82
Cross River,5286.83,5339.7,5185.19,5517.05,0.98,1.03
Rivers,90362.48,91266.1,42141.33,44838.37,0.47,0.49
Ekiti,164042.47,165682.89,91602.06,97464.59,0.56,0.59
Ogun,82612.93,83439.06,49394.64,52555.9,0.6,0.63
Ondo,135687.5,137044.37,106216.96,113014.84,0.78,0.82
Osun,196054.86,198015.41,81779.15,87013.02,0.42,0.44
Oyo,117557.17,118732.74,98328.64,98525.3,0.84,0.83
Lagos,112774.92,113902.67,57079.91,60733.03,0.51,0.53
National,4817578.94,4834377.23,3924974.44,4093945.27,0.81,0.85
