State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Adamawa,72187.05,73053.29,152152.89,160064.84,2.11,2.19
Bauchi,502602.63,508633.86,620491.27,652756.82,1.23,1.28
Bayelsa,30921.77,31292.83,29171.91,30688.85,0.94,0.98
Benue,330533.07,334499.46,313925.45,330249.57,0.95,0.99
Borno,195137.04,195332.17,221147.88,191735.21,1.13,0.98
Cross River,16651.11,16850.93,21140.07,22239.36,1.27,1.32
Ebonyi,6380.11,6456.67,6189.03,6510.86,0.97,1.01
Edo,12023.12,12167.4,7533.47,7925.21,0.63,0.65
Enugu,6041.77,6114.27,7718.91,8120.29,1.28,1.33
Federal Capital Territory,218784.52,221409.93,159037.32,167307.27,0.73,0.76
Gombe,145606.62,147353.9,156812.05,164966.28,1.08,1.12
Imo,10863.1,10993.46,9074.93,9546.83,0.84,0.87
Jigawa,184298.1,186509.68,278645.63,293135.2,1.51,1.57
Kaduna,250080.88,247079.91,326465.77,332995.09,1.31,1.35
Kano,263505.69,266667.76,172910.5,181901.84,0.66,0.68
Katsina,167695.32,154279.7,151851.55,152762.66,0.91,0.99
Kebbi,179452.61,180529.32,216430.77,225737.29,1.21,1.25
Kogi,163309,165268.71,197330.53,207591.71,1.21,1.26
Kwara,234601.87,237417.09,292576.75,307790.75,1.25,1.3
Nasarawa,113947.75,115315.13,243226.74,255874.53,2.13,2.22
Niger,260484.8,263610.62,317309.71,330954.03,1.22,1.26
Ogun,22970.8,23246.45,45015.37,47356.17,1.96,2.04
Osun,48454.98,49036.44,61994.65,65218.38,1.28,1.33
Oyo,59064.33,59773.1,68253.23,71802.4,1.16,1.2
Plateau,177881.75,180016.33,241071.01,253606.7,1.36,1.41
Sokoto,237695.25,216778.07,116084.96,105637.31,0.49,0.49
Taraba,266019.06,269211.29,276374,290745.45,1.04,1.08
Yobe,55898.44,56569.22,69551.3,70942.33,1.24,1.25
Zamfara,193747.43,165460.3,185752.16,138385.36,0.96,0.84
National,4426839.97,4400927.3,4965239.84,5084548.59,1.12,1.16
