State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,131147.78,133115,331630.05,345226.88,2.53,2.59
Federal Capital Territory,155906.26,158244.86,394791.07,410977.5,2.53,2.6
Kogi,137454.04,139515.85,374797.98,389040.3,2.73,2.79
Kwara,136167.99,138210.51,290667.06,301712.4,2.13,2.18
Nasarawa,96473.75,97920.85,272900.49,283270.7,2.83,2.89
Niger,175163.07,177790.51,614228.28,637568.95,3.51,3.59
Plateau,246017.46,249707.72,563074.11,584470.93,2.29,2.34
Adamawa,166130.45,168622.4,384187.99,401476.45,2.31,2.38
Borno,259860.79,260120.65,496870.2,424327.15,1.91,1.63
Bauchi,348910.05,354143.7,544380.9,565067.37,1.56,1.6
Gombe,311766.82,316443.32,561630.44,586903.81,1.8,1.85
Taraba,118935.53,120719.56,260206.77,270875.25,2.19,2.24
Yobe,312494.25,313119.24,530771.72,506886.99,1.7,1.62
Jigawa,147264.19,149473.15,290674.69,303755.05,1.97,2.03
Kaduna,308100.6,275750.04,857280.86,867568.23,2.78,3.15
Kano,105891.85,107480.23,316299.97,330533.47,2.99,3.08
Katsina,134747.88,113727.21,304468.03,277674.84,2.26,2.44
Kebbi,137360.44,137909.88,295817.1,297000.37,2.15,2.15
Sokoto,95526.31,79955.52,224832.8,192007.21,2.35,2.4
Zamfara,141245.79,115962.8,216832.27,185174.76,1.54,1.6
Abia,61980.16,62909.86,85412.35,89170.49,1.38,1.42
Anambra,44069.7,44730.74,95493.57,99695.29,2.17,2.23
Ebonyi,79302.38,80491.92,140856.51,147054.2,1.78,1.83
Enugu,77415.6,78576.83,164423.32,171657.94,2.12,2.18
Imo,47631.35,48345.82,114716.57,119764.1,2.41,2.48
Akwa Ibom,65215.28,66193.51,80804.57,84359.97,1.24,1.27
Bayelsa,47177.89,47885.56,76416.71,79779.04,1.62,1.67
Delta,47971.15,48690.72,97272.92,101552.93,2.03,2.09
Edo,62352.28,63287.56,143574.5,149891.78,2.3,2.37
Cross River,86178.32,87471,141933.23,148178.29,1.65,1.69
Rivers,49845.09,50592.77,114834.42,119887.14,2.3,2.37
Ekiti,128798.29,130730.27,257635.79,268971.77,2,2.06
Ogun,106574.53,108173.15,246052.57,256878.88,2.31,2.37
Ondo,125574.76,127458.38,339882.66,354837.5,2.71,2.78
Osun,139912.98,142011.68,334532.59,349252.03,2.39,2.46
Oyo,134783.33,136805.08,278769.78,291035.65,2.07,2.13
Lagos,128812.4,130744.59,213938.47,223351.77,1.66,1.71
National,5100160.8,5063032.44,11052893.28,11216837.37,2.17,2.22
