State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,112131.14,115831.46,73277.91,75256.41,0.65,0.65
Federal Capital Territory,38099.87,39357.17,42265.33,43406.49,1.11,1.1
Kogi,33969.17,35090.16,27550.67,28294.54,0.81,0.81
Kwara,30424.45,31428.46,25249.05,25930.78,0.83,0.83
Nasarawa,22078.66,22807.26,25835.52,26533.08,1.17,1.16
Niger,83467.24,86221.65,92017.25,94501.72,1.1,1.1
Plateau,71611.8,73974.99,59903.35,61520.75,0.84,0.83
Adamawa,117971.97,121865.05,136181.35,139858.25,1.15,1.15
Borno,85953.54,86383.31,64575.2,58053.11,0.75,0.67
Bauchi,80534.26,83191.89,62265.74,63946.91,0.77,0.77
Gombe,109128.71,112729.96,99608.26,102297.68,0.91,0.91
Taraba,100384.63,103697.32,72775.08,74740,0.72,0.72
Yobe,180220.04,181481.58,199848.54,203845.51,1.11,1.12
Jigawa,82032.64,84739.72,53711.16,54785.38,0.65,0.65
Kaduna,59094.48,55548.81,38401.02,38823.43,0.65,0.7
Kano,46167.9,47691.44,72678.54,74640.86,1.57,1.57
Katsina,105400.54,100130.51,115614.2,118042.1,1.1,1.18
Kebbi,78240.41,78396.9,60727.13,61395.12,0.78,0.78
Sokoto,68443.98,56329.39,155780.14,140046.34,2.28,2.49
Zamfara,37519.78,30878.78,70779.49,60374.91,1.89,1.96
National,1542875.22,1547775.81,1549044.93,1546293.37,1,1
