State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Abia,61322.92,62212.1,61891.39,64181.37,1.01,1.03
Adamawa,183566.29,186228,303206.33,311392.9,1.65,1.67
Akwa Ibom,12751.48,12936.37,25566.06,26512.01,2,2.05
Anambra,46706.33,47383.57,104139.44,107263.62,2.23,2.26
Bauchi,125060.67,126874.05,207090.23,214752.57,1.66,1.69
Bayelsa,48816.85,49524.7,97991.29,101616.96,2.01,2.05
Benue,271295.27,275229.05,541754.6,559090.75,2,2.03
Borno,164718.84,167107.27,276871.75,236448.47,1.68,1.41
Cross River,61460.35,62351.53,145649.71,151038.74,2.37,2.42
Delta,79237.81,80386.76,170990.34,177316.98,2.16,2.21
Ebonyi,64964.8,65906.79,152668.84,157248.91,2.35,2.39
Edo,33022.3,33501.12,54698.05,56721.88,1.66,1.69
Ekiti,86845.51,88104.77,152802.05,158455.73,1.76,1.8
Enugu,58034.43,58875.93,97355.98,100276.66,1.68,1.7
Federal Capital Territory,207645.87,210656.74,435248.13,451352.31,2.1,2.14
Gombe,179934.23,182543.28,241827.29,250774.9,1.34,1.37
Imo,50142.07,50869.13,89004.74,92297.91,1.78,1.81
Jigawa,131941.95,133855.11,210522.95,218312.3,1.6,1.63
Kaduna,164915.17,167306.44,389997.73,397797.69,2.36,2.38
Kano,134759.25,136106.85,469421.6,486790.2,3.48,3.58
Katsina,134307.7,135650.78,221353.94,226445.08,1.65,1.67
Kebbi,234169.73,237565.19,389157.49,403556.31,1.66,1.7
Kogi,288287.43,292467.59,547749.05,566920.27,1.9,1.94
Kwara,218227.93,221392.23,465343.33,482561.03,2.13,2.18
Lagos,56709.22,57531.51,92662.89,96091.41,1.63,1.67
Nasarawa,194266.15,197083,453641.35,464075.1,2.34,2.35
National,4509840.95,4572945.27,8902225.99,9129907.68,1.97,2
Niger,278284.54,281902.23,691175.17,707072.2,2.48,2.51
Ogun,66535.42,67500.18,102100.3,105878.01,1.53,1.57
Ondo,53567.98,54344.72,120821.42,125291.81,2.26,2.31
Osun,74967.69,76054.72,129029.2,133803.28,1.72,1.76
Oyo,68636.12,69631.35,114222.41,116621.08,1.66,1.67
Plateau,137929.94,139929.93,268561.5,274738.41,1.95,1.96
Rivers,43771.24,44405.92,83194.73,86272.94,1.9,1.94
Sokoto,84303.06,85230.4,176472.44,178237.16,2.09,2.09
Taraba,211857.1,214929.02,433331.95,449365.24,2.05,2.09
Yobe,92568.46,93910.7,176964.29,183511.97,1.91,1.95
Zamfara,104308.85,105456.24,207746.03,209823.49,1.99,1.99
