State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,172626.34,178668.26,198485.62,206822.02,1.15,1.16
Federal Capital Territory,97707.63,101127.4,129647.84,135093.05,1.33,1.34
Kogi,90276.31,93435.98,125470.77,130740.54,1.39,1.4
Kwara,98895.4,102356.74,151441.75,157802.31,1.53,1.54
Nasarawa,391577.03,408806.42,500240.28,521250.37,1.28,1.28
Niger,80335.47,83870.23,159944.47,166662.14,1.99,1.99
Plateau,177207.61,185004.75,305028.32,317839.51,1.72,1.72
Adamawa,241231.13,253775.15,279913.66,291670.03,1.16,1.15
Borno,314315.53,314629.85,338708.28,318724.5,1.08,1.01
Bauchi,382448.58,402335.91,438735.68,457162.57,1.15,1.14
Gombe,289234.95,304275.17,325619.26,339295.27,1.13,1.12
Taraba,289552.26,304608.98,327219.4,340962.62,1.13,1.12
Yobe,217891.92,218109.82,260906.34,261428.15,1.2,1.2
Jigawa,270187.82,284237.59,332122.66,346071.81,1.23,1.22
Kaduna,379321.53,344044.63,439549.69,405704.36,1.16,1.18
Kano,524678.79,551962.09,594407.71,619372.84,1.13,1.12
Katsina,267868.06,243492.07,293485.36,266778.19,1.1,1.1
Kebbi,308847.96,280742.79,391005.5,393351.53,1.27,1.4
Sokoto,239755.92,217938.13,365144.62,328958.78,1.52,1.51
Zamfara,339171.79,308307.16,364152.17,327700.54,1.07,1.06
Enugu,13354.76,13942.37,13806.75,14359.02,1.03,1.03
Oyo,48601.98,50740.47,66562.62,69225.12,1.37,1.36
National,5235088.8,5246411.95,6401598.75,6416975.27,1.22,1.22
