State,Area_Ha_2023,Area_Ha_2024,Production_MT_2023,Production_MT_2024,Yield_MT_Ha_2023,Yield _MT_Ha_2024
Benue,82351.47,83751.45,202665.67,205300.33,2.46,2.45
Federal Capital Territory,49589.96,50432.99,28692.91,29065.91,0.58,0.58
Kogi,48153.15,48971.76,40204.54,40727.2,0.83,0.83
Kwara,61268.7,62310.27,55005.4,55720.47,0.9,0.89
Nasarawa,31008.05,31535.19,24800.07,25122.47,0.8,0.8
Niger,100353.66,102059.68,53818.71,54087.81,0.54,0.53
Plateau,37530.2,38168.21,24849.7,25172.74,0.66,0.66
Adamawa,54682.7,55612.3,43904.5,44475.26,0.8,0.8
Bauchi,34559.66,35147.18,22444.17,22735.94,0.65,0.65
Borno,23313.24,23336.55,17058.65,14039.27,0.73,0.6
Gombe,61851.66,62903.14,52017.75,52693.98,0.84,0.84
Taraba,41956.33,42669.58,59265.99,60036.45,1.41,1.41
Jigawa,37123.77,37754.87,30551.46,30948.63,0.82,0.82
Kaduna,87412.96,88287.08,92538.85,93741.86,1.06,1.06
Kano,56121.25,57075.31,66057.21,66915.95,1.18,1.17
Katsina,45126.14,45035.89,34031.94,34202.1,0.75,0.76
Kebbi,38541.12,39042.15,35049.41,35294.76,0.91,0.9
Sokoto,36251.24,31647.34,31895.21,26249.75,0.88,0.83
Ekiti,22034.77,22409.36,7213.42,7307.2,0.33,0.33
Oyo,33906.86,34483.27,23804.54,24114,0.7,0.7
National,983136.89,992633.58,945870.1,947952.08,0.96,0.95
