State,Area_Ha_2023,Area_Ha_2024,Change_pc
Abia,827687.68,840820.91,1.59
Adamawa,1125657.02,1152079.66,2.35
Akwa Ibom,850993.22,863655.82,1.49
Anambra,728055.22,738335.43,1.41
Bauchi,2023860.44,2066775.31,2.12
Bayelsa,1033331.91,1048673.59,1.48
Benue,1978485.87,2012971.28,1.74
Borno,1357923.08,1350721.2,-0.53
Cross River,1049700.67,1065737.92,1.53
Delta,582836.25,591877.96,1.55
Ebonyi,1479779.25,1503187.97,1.58
Edo,1055978.88,1072276.53,1.54
Ekiti,898944.86,912281.73,1.48
Enugu,828416.87,841157.39,1.54
FCT,2053089.82,2087008.71,1.65
Gombe,1683139.17,1718791.04,2.12
Imo,821601.2,832852.35,1.37
Jigawa,1201525.83,1229801.84,2.35
Kaduna,1908106.48,1839108.09,-3.62
Kano,1515471.64,1555159.95,2.62
Katsina,1286863.87,1214626.19,-5.61
Kebbi,1488032.41,1463552.36,-1.65
Kogi,1781623.6,1809241.51,1.55
Kwara,1838249.22,1867127.5,1.57
Lagos,616914.6,625733.3,1.43
Nasarawa,1558364.44,1593564.24,2.26
Niger,1790090.37,1818013.6,1.56
Ogun,620895.71,630172.28,1.49
Ondo,811853.91,823888.6,1.48
Osun,917175.04,930106.22,1.41
Oyo,1019318.18,1036265.24,1.66
Plateau,1599107.1,1628648.34,1.85
Rivers,1433794.65,1456574.21,1.59
Sokoto,1082751.31,998651.74,-7.77
Taraba,1972255.96,2012485.41,2.04
Yobe,1269885.17,1277151.15,0.57
Zamfara,1105331.03,1002694.36,-9.29
National Total,47197091.93,47511770.93,0.67
