State,CH_anaemia_any,CH_anaemia_mild,CH_anaemia_mod,CH_anaemia_sev,WRA_anaemia_any,WRA_anaemia_mild,WRA_anaemia_mod,WRA_anaemia_sev
FCT-Abuja,34.9,26.2,8.8,0,34.9,18.4,16.2,0.3
Benue,51,32.1,18.4,0.6,29.4,20.2,8.8,0.4
Kogi,39.1,27.3,11.7,0.1,47.1,29.4,17.4,0.3
Kwara,65.2,31.7,32.9,0.6,60.1,27.1,31.7,1.3
Nasarawa,59.7,30.9,27.2,1.6,34.7,20.7,13.6,0.5
Niger,54.3,27.8,24.1,2.3,45.7,29.4,14.5,1.7
Plateau,57.5,32.8,22.7,1.9,31.4,21,9.6,0.8
Adamawa,59,25.1,29.3,4.6,50,22.4,26.3,1.3
Bauchi,65.3,25.1,37.3,2.9,54.4,27.1,24,3.3
Borno,61.4,33.7,26.9,0.8,44.8,22.4,21.2,1.3
Gombe,60.4,28.1,27.8,4.4,46.8,22.3,22.8,1.8
Taraba,58.8,27.6,29.3,1.9,43.4,26.6,15.9,0.9
Yobe,56.6,34.2,21,1.4,43.5,22.2,20.7,0.6
Jigawa,60,28.1,29.1,2.8,55.7,29,25.1,1.6
Kaduna,54.1,25.7,26.6,1.9,38.1,23.1,14.4,0.6
Kano,64.2,37.7,25.1,1.4,42.2,25.4,16.3,0.5
Katsina,69.6,30.6,39,0,60.7,21.2,36.6,2.8
Kebbi,52.1,22,27.1,2.9,21.4,11.8,8.9,0.7
Sokoto,56.7,23.1,30.6,3,67.7,21.1,44.1,2.4
Zamfara,73.3,28.1,42.3,2.9,49.2,30.1,18.1,1.1
Abia,64.1,38.4,25.4,0.3,66.3,28.7,36.5,1.2
Anambra,52.9,30.3,21.9,0.6,54.9,32.5,22.4,0.1
Ebonyi,84.8,25.4,57,2.4,71.8,32,39.6,0.1
Enugu,63,35,27.3,0.8,49.6,28,20.1,1.5
Imo,45.4,29.9,15.3,0.2,41.7,27.7,13.6,0.4
Akwa Ibom,74.5,28.3,45.6,0.7,54.8,24.8,28.9,1.1
Bayelsa,50.1,30.7,18.6,0.8,47.7,27.8,19.9,0
Cross River,52.6,37,15.6,0,40.1,27.4,12.6,0
Delta,33.4,24.4,9,0,36.1,24.9,10,1.2
Edo,51.5,31.3,18.9,1.2,53,32.3,19,1.7
Rivers,55.8,36.1,19.7,0,48.9,24.8,23.2,1
Ekiti,49.5,22.4,27.2,0,47.4,31.2,16.3,0
Lagos,40.3,23.2,17.1,0,46,29,16.1,0.9
Ogun,42.3,31,11.2,0,42.3,22,20.3,0
Ondo,43.7,19.8,23.2,0.6,52.8,29,23.1,0.6
Osun,43.2,28.3,14.9,0,47.4,31.1,16.3,0
Oyo,53.8,28.3,25.4,0,43.5,30.5,12.8,0.2
