flow_id,sequence,lat,long, flow
1,1,8.517904,5.547043, 2
1,2,11.315799,5.229385, 2
1,3,12.078266,4.815589, 2
2,1,8.517904,5.547043, 2
2,2,11.315799,5.229385, 2
2,3,12.391531,6.075026, 2
3,1,12.509073,4.479172, 2
3,2,13.114344, 3.539488, 2
4,1,12.841349, 5.252953, 2
4,2,13.958147, 4.984010, 2
5,1,12.310575, 6.981877, 2
5,2,13.290827, 6.910525, 2
6,1,12.262269, 8.710801, 2
6,2,13.467182, 8.354039, 2
7,1,12.616306,10.780770, 2
7,2,13.883501,11.020640, 2
8,1,12.712778,13.657196, 2
8,2, 13.349626,14.584777, 2
9,1,8.990978,3.728524, 2
9,2,6.743805,3.344318, 2
10,1,6.607407,2.581396, 2
10,2,6.574666, 3.127564, 2
11,1,6.476429,6.514059, 2
11,2,7.773678, 5.290091, 2
11,3,6.689250, 3.533724, 2
12,1,6.421845, 6.816716, 2
12,2,10.853582, 7.671132, 2
13,1,6.051841, 6.752066, 2
13,2, 4.958292, 6.241157, 2
14,1,6.040916, 7.363545, 1
14,2, 5.212719, 7.029374, 1
14,3, 4.941874, 7.051329, 1
15, 1, 7.796763, 8.848702, 1
15, 2, 7, 8.110549, 1
15, 3, 6.548698, 7.570891, 1
16, 1 ,5.723991,7.833386, 2
16, 2, 6.966005, 8.362957, 2
16, 3, 10.482590, 12.030703, 2
16, 4, 11.567534, 10.025737, 2
17, 1, 5.723991,7.833386, 2
17, 2, 6.966005, 8.362957, 2
17, 3, 10.045982,12.243150, 2
17, 4, 11.769271,12.863367, 2
