flow_id,sequence,lat,long, flow

1,1, 10.25, 11, 1
1,2, 10.5, 9, 1
1,3, 11.75, 8.75, 1

2,1, 11.7, 10.85, 1
2,2, 11.5, 9.5, 1
2,3, 12, 8.75, 1

3,1,13.114344, 3.539488, 2
3,2,12.509073,4.479172, 2

4,1,13.958147, 4.984010, 2
4,2,12.841349, 5.252953, 2

5,1,13.290827, 6.910525, 2
5,2,12.310575, 7, 2

6,1,13.467182, 9.25, 2
6,2,12.262269, 8.7, 2

7,1,13.883501,11.020640, 2
7,2,12.616306,10.780770, 2

8,1, 13.349626,14.584777, 2
8,2,12.712778,13.657196, 2


9,1,12.078266,4.815589, 2
9,2,8.990978,4.728524, 2
9,3,8, 4, 2
9,4,6.743805,3.344318, 2

10,1,12.078266,4.815589, 2
10,2,8, 4.5, 2
10,3,8.5, 6.5, 2
10,4,6.476429,6.514059, 2

11, 1, 12.25, 8.25, 1
11, 2, 13, 8.2, 1

12,1, 10.853582, 7.671132, 2
12,2, 8.5, 7, 2
12,3, 8, 6.5, 2
12,4, 6.476429,6.514059, 2

13, 1, 5.75, 6.752066, 2
13, 2, 5.65, 7.25, 2
13, 3, 5.25, 7.241157, 2

14, 1, 6.25, 7.95, 2
14, 2, 6, 7.4, 2
14, 3, 5.65, 7.341157, 2

16, 1, 11.5, 10.75, 2
16, 2, 9.5, 10.75, 2
16, 3, 8, 9.75, 2
16, 4 ,6.5, 8.2, 2

17, 1, 11.25, 13.25, 2
17, 2, 7.5, 12, 2
17, 3, 8.5, 10, 2
17, 4, 6.5, 8.2, 2

18,1, 12.078266, 6.3, 1
18,2, 10, 6.2, 1
18,3, 9, 5.5, 1

19, 1, 9.5, 13.75, 1
19, 2, 9.95, 13.25, 1

20, 1,  13.424824, 12.3, 2
20, 2, 12.4, 12.11, 2
