flow_id,sequence,lat,long, flow
1,1,12.7,4.3,2
1,2,12.8,3.6,2
2,1,12.7,4.3,2
2,2,12.5,4.5,2
3,1,12.9,5.7,2
3,2,13.8,5.5,2
4,1,11.7,5.8,2
4,2,12.8,5.7,2
5,1,10,6.75,2
5,2,10.45,6.2,2
5,3,11.3,6.1,2
6,1,9.7,6.3,2
6,2,9.2,4.6,2
6,3,7.7,4.2,2
7,1,7.3,3.85,2
7,2,6.8,3.5,2
8,1,6.54,2.72,2
8,2,6.57,3.23,2
9,1,6.54,2.72,2
9,2,6.52,2.09,2
10,1,9.05,7.32,2
10,2,9.033,5.43,2
10,3,7.67,4.2,2
11,1,10.34,7.53,2
11,2,8,7.92,2
11,3,5.82,5.94,2
12,1,10.86,9.88,2
12,2,8,10.2,2
12,3,6.61,7.89,2
13,1,10.86,9.88,2
13,2,11,8.79,2
13,3,11.85,8.55,2
14,1,10.86,9.88,2
14,2,10.93,10.62,2
14,3,11.16,11.25,2
15,1,11.23,11.58,2
15,2,11.77,12.45,2
16,1,12.09,13.08,2
16,2,12.29,12.24,2
16,3,13.53,12.35,2
17,1,11.35,13.91,1
17,2,10.98,14.49,1
18,1,9.59,13.02,1
18,2,9.03,13.5,1
19,1,12.53,10.58,2
19,2,13.83,10.64,2
20,1,12.29,8.29,2
20,2,12.49,7.94,2
20,3,13.33,7.87,2
21,1,12.28,8.5,1
21,2,13.07,8.24,1
22,1,10.5,7.44,2
22,2,10.77,7.04,2
22,3,11.26,7.08,2
23,1,11.72,7.02,2
23,2,12.34,6.84,2
23,3,12.97,7.1,2
