flow_id,sequence,lat,long, flow
1,1,12.6,4.5,2
1,2,13,4.48,2
1,3,12.9,3.77,2
2,1,11.89,4.19,1
2,2,10.31,4.34,1
3,1,11.83,4.94,2
3,2,7,5,2
3,3,9,4.17,2
3,4,7.62,4,2
4,1,11.83,4.94,2
4,2,5,5,2
4,3,8.45,7,2
4,4,6.27,6.79,2
5,1,12.1,5.75,2
5,2,9.75,6,2
6,1,12.79,6.3,2
6,2,13.9,6.35,2
7,1,12.34,8.39,2
7,2,12.91,7.97,2
7,3,13.67,8.15,2
8,1,11.26,7.3,1
8,2,10.2,6.79,1
8,3,9.27,6.86,1
9,1,10.82,8.12,2
9,2,9,7.1,2
9,3,6.93,7.51,2
10,1,11.5,9.55,2
10,2,10.08,9.29,2
11,1,11.66,11.43,1
11,2,10.29,10.97,1
12,1,12.35,9.32,2
12,2,13.17,9.36,2
13,1,12.9,10.53,2
13,2,13.56,10.24,2
14,1,12.45,11.53,2
14,2,13.85,11.8,2
15,1,12,13.24,2
15,2,12.6,14.34,2
15,3,12.06,15.24,2
16,1,11.73,13.1,2
16,2,7.5,11.5,2
16,3,8.35,8.13,2
16,4,5.68,8.15,2
17,1,11.73,13.1,1
17,2,9.22,11.94,1
17,4,8.5,13,1
