flow_id,sequence,lat,long, flow
1,1,12.6,4.5,2
1,2,13,4.48,2
1,3,12.9,3.77,2
2,1,11.03,11.92,1
2,2,10.45,11.38,1
3,1,12.31,4.78,2
3,2,7,4,2
3,3,9,4.17,2
3,4,7.62,4,2
4,1,12.31,4.78,2
4,2,6,4,2
4,3,8.45,7,2
4,4,6.5,6.79,2
5,1,12.28,8.49,1
5,2,13.09,8.15,1
6,1,12.79,6.3,2
6,2,13.9,6.35,2
7,1,12.14,12.4,2
7,2,13,12.1,2
7,3,13.67,12.5,2
8,1,11.92,9.77,1
8,2,11.78,8.53,1
9,1,11.13,7.75,2
9,2,9,7.5,2
9,3,6.25,7,2
10,1,6.02,6.88,2
10,2,5.05,7.02,2
11,1,11.87,7.2,1
11,2,12.9,7.2,1
12,1,12.74,7.84,2
12,2,13.52,7.46,2
13,1,12.9,10.53,2
13,2,13.56,10.24,2
14,1,12.45,11.4,2
14,2,13.85,11.5,2
15,1,12,13.24,2
15,2,12.6,14.34,2
15,3,12.06,15.24,2
16,1,11.73,13.1,2
16,2,7.5,11.5,2
16,3,8.35,8.13,2
16,4,5.48,7.64,2
17,1,11.73,13.1,1
17,2,9.22,11.94,1
17,4,8.5,13,1
