state_name,NBS_est_2016,weight_2016,pop_est_2025,pop_est_2030,women_15_49_weight,children_0_5_weight,weight_urban_2021,weight_rural_2021,pop_est_women_15_49_2025,pop_est_women_15_49_2030,pop_est_children_0_5_2025,pop_est_children_0_5_2030,pop_est_rural_women_15_49_2025,pop_est_rural_women_15_49_2030,pop_est_rural_children_0_5_2025,pop_est_rural_children_0_5_2030
Abia,3727347,0.02,4575431,5055164,0.018,0.016,0.192,0.808,1309649.318,1548905.972,611169.682,722822.787,1058196.649,1251516.025,493825.103,584040.8119
Adamawa,4248436,0.02,5215084,5761884,0.023,0.023,0.225,0.775,1673440.796,1979157.631,878556.4178,1039057.756,1296916.617,1533847.164,680881.2238,805269.7611
Akwa Ibom,5482177,0.03,6729538,7435128,0.023,0.022,0.072,0.928,1673440.796,1979157.631,840358.3127,993881.3321,1552953.059,1836658.282,779852.5142,922321.8762
Anambra,5527809,0.03,6785553,7497016,0.032,0.022,0.853,0.147,2328265.455,2753610.617,840358.3127,993881.3321,342255.0219,404780.7607,123532.672,146100.5558
Bauchi,6537314,0.03,8024751,8866143,0.035,0.05,0.137,0.863,2546540.341,3011761.612,1909905.256,2258821.209,2197664.315,2599150.271,1648248.236,1949362.704
Bayelsa,2277961,0.01,2796266,3089454,0.012,0.009,0.309,0.691,873099.5456,1032603.981,343782.9461,406587.8177,603311.786,713529.3511,237554.0158,280952.182
Benue,5741815,0.03,7048252,7787259,0.03,0.03,0.158,0.842,2182748.864,2581509.953,1145943.154,1355292.726,1837874.544,2173631.381,964884.1354,1141156.475
Borno,5860183,0.03,7193552,7947794,0.026,0.03,0.548,0.452,1891715.682,2237308.626,1145943.154,1355292.726,855055.4884,1011263.499,517966.3055,612592.312
Cross River,3866269,0.02,4745962,5243575,0.021,0.016,0.186,0.814,1527924.205,1807056.967,611169.682,722822.787,1243730.303,1470944.371,497492.1211,588377.7486
Delta,5663362,0.03,6951948,7680858,0.027,0.02,0.559,0.441,1964473.978,2323358.958,763962.1024,903528.4837,866333.0242,1024601.301,336907.2872,398456.0613
