"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=666&cropid=3&task=view","Cowpea","NGVU-25-44","FUAMPEA 5 (ALKAM SUPER)","UAM15-2157-4","Light brown, large seed, and good adaptation to intercropping. (2.9t/ha)","Northern and Southern Guinea savannas ecologies","Joseph SarwuanTarka University Makurdi","Joseph SarwuanTarka University Makurdi; Joseph SarwuanTarka University Makurdi","L.O. Omoigui, G. Ekeruo, M.S. Ugbaa, A.Y. Kamara, O.O. Olufajo, N. Iyorkaa, A.S. Shaibu, T. Iorlamen, R. Solomon & M.P. Timko",2.9,2025,2025,2.9
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=673&cropid=4&task=view","Soybean","NGGM-25-27","NCRISOY 5M","TGx 2029-27F","Good pod clearance, high yielding, tolerance to cercospora leaf spot and bacterial pustule.(3.4t/ha)","Northern guinea savannas, derived savannas, southern guinea savannas ecologies","IITA, Ibadan","IITA, Ibadan & NCRI, Badeggi;","Abush T. Abebe, Godfree Chigeza, Adeyinka S. Adewumi, Shaahu Aondover, Dean Mungani, Hapson Mushoriwa, Omoigui L.O., Simon Imoro, Ibnou Deing, Solomon Ntukidem, Umar A.B., Moses Adebayo, Vange T., Nwosu D., Adetiloye I.S., Nnamani G.C., Ochigbo E.A & Okoh J.O.",3.4,2025,2025,3.3
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=674&cropid=4&task=view","Soybean","NGGM-25-28","NCRISOY 6M","TGx 2029-53F","Good pod clearance, high yielding, high protein content, tolerance to cercospora leaf spot and bacterial pustule.(3.3t/ha)","Northern guinea savannas, derived savannas, southern guinea savannas ecologies","IITA, Ibadan","IITA, Ibadan & NCRI, Badeggi;","Abush T. Abebe, Godfree Chigeza, Adeyinka S. Adewumi, Shaahu Aondover, Dean Mungani, Hapson Mushoriwa, Omoigui L.O., Simon Imoro, Ibnou Deing, Solomon Ntukidem, Umar A.B., Moses Adebayo, Vange T., Nwosu D., Adetiloye I.S., Nnamani G.C., Ochigbo E.A & Okoh J.O.",3.3,2025,2025,4.12
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=678&cropid=5&task=view","Forage Legume","NGMP 25-10","Skika Legume 1","Velvet Bean","High dry matter yield and protein content. (5.01t/ha)","Northern guinea and Sudan savannah ecologies","Southern China and Eastern India","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",5.01,2025,2025,11.1
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=679&cropid=5&task=view","Forage Legume","NGLP 25-11","Shika Legume 2","White Lablab","High dry matter yield and protein content. (4.12t/ha)","Northern guinea, Sudan and Sahel savannah ecologies","South and East Africa","NAPRI, Zaria,Nigeria; IAR, Zaria","N. Nzamani, P.E. Olarenwaju, W.M. Abdullahi, M.L. Umar, M.A. Yahya, M.R. Hassan, S.A. Abubakar, H. Abubakar, Y.M. Ishiaku, J.T. Amodu, R.J Tanko & S.A. Ahmed.",4.12,2025,2025,10.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=680&cropid=7&task=view","Maize","NGZM-25-205","ETG M401","ETG M401","High grain yield and good standability. (10.2t/ha)","Guinea and Sudan Savanna ecologies","ETG Input Nigeria Ltd.","ETG Input Nigeria Ltd.; IAR, Samaru, Zaria","Madan Maurya, M. Oyekunle, G. Ogu, S.G. Ado, I.S. Usman, H. Mani & Y.U. Oladimeji",10.2,2025,2025,10.6
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=681&cropid=7&task=view","Maize","NGZM-25-206","ETG M601","ETG M601","High grain yield and good standability. (11.1t/ha)","Guinea and Sudan Savanna ecologies","ETG Input Nigeria Ltd.","ETG Input Nigeria Ltd.; IAR, Samaru, Zaria","Madan Maurya, M. Oyekunle, G. Ogu, S.G. Ado, I.S. Usman, H. Mani & Y.U. Oladimeji",11.1,2025,2025,4.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=682&cropid=7&task=view","Maize","NGZM-25-207","SAMMAZ 77","A2326-1","Tolerance to multiple stresses (Striga hermonthica, drought and fall armyworm) and high grain yield. (10.8t/ha)","Northern and Southern Guinea Savanna ecologies","IITA, Ibadan","IITA, Ibadan; IAR, Samaru, Zaria","A. Menkir, M. Oyekunle, S.G. Ado, S. Silvestro, W. Mengasa, Z. Saminu, F. Bankole, A. Kamara, I.S. Usman, H. Mani, Y.U. Oladimeji & H. Abubakar",10.8,2025,2025,4.7
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=683&cropid=7&task=view","Maize","NGZM-25-208","SC 451","19C11934","Extra-earliness, good standability, and high grain yield. (10.8t/ha)","Guinea and Sudan Savannah ecologies","Seed Co Ltd., Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, T. Kusada, V.O. Oladipo, M. Oyekunle, A. Chikoshana, A. Sani, R. Ogoyi & E. Ajeh",10.8,2025,2025,9.8
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=684&cropid=7&task=view","Maize","NGZM-25-209","SC 563","16C34878","Early maturity, good standability, and high grain yield. (10.8t/ha)","Guinea Savannah ecologies","Seed Co Ltd., Zimbabwe","Seed Co Ltd., Zimbabwe; IAR, Samaru, Zaria","G. Mabuyaye, T. Kusada, V.O. Oladipo, M. Oyekunle, A. Chikoshana, A. Sani, R. Ogoyi & E. Ajeh",10.8,2025,2025,13.9
